txn_id,amount,is_fraud,model_alert
TX0000000,45.96,0,0
TX0000001,34.4,0,0
TX0000002,85.28,0,0
TX0000003,13.73,0,0
TX0000004,22.33,0,0
TX0000005,47.05,0,0
TX0000006,58.89,0,0
TX0000007,178.15,0,0
TX0000008,123.77,0,0
TX0000009,351.46,0,0
TX0000010,22.14,0,0
TX0000011,9.85,0,0
TX0000012,23.23,0,0
TX0000013,22.29,0,0
TX0000014,125.85,0,0
TX0000015,19.58,0,0
TX0000016,382.47,0,0
TX0000017,62.84,0,0
TX0000018,16.72,0,0
TX0000019,19.04,0,0
TX0000020,116.35,0,0
TX0000021,275.08,0,0
TX0000022,3.06,0,0
TX0000023,144.31,0,0
TX0000024,9.29,0,0
TX0000025,18.32,0,0
TX0000026,58.67,0,0
TX0000027,31.85,0,0
TX0000028,1.99,0,0
TX0000029,32.07,0,0
TX0000030,144.8,0,0
TX0000031,25.69,0,0
TX0000032,136.53,0,0
TX0000033,67.41,0,0
TX0000034,329.9,0,0
TX0000035,34.71,0,0
TX0000036,119.78,0,0
TX0000037,23.69,0,0
TX0000038,131.96,0,0
TX0000039,90.45,0,0
TX0000040,136.61,0,0
TX0000041,41.08,0,0
TX0000042,32.56,0,0
TX0000043,93.02,0,0
TX0000044,207.5,0,0
TX0000045,4.06,0,0
TX0000046,85.25,0,1
TX0000047,81.41,0,0
TX0000048,17.4,0,0
TX0000049,60.16,0,0
TX0000050,53.89,0,0
TX0000051,37.75,0,0
TX0000052,29.59,0,0
TX0000053,61.79,0,0
TX0000054,56.76,0,0
TX0000055,75.74,0,0
TX0000056,41.72,0,0
TX0000057,39.79,0,0
TX0000058,127.22,0,0
TX0000059,29.71,0,0
TX0000060,73.86,0,0
TX0000061,5.24,0,0
TX0000062,38.61,0,0
TX0000063,147.44,0,0
TX0000064,60.31,0,0
TX0000065,65.73,0,0
TX0000066,25.91,0,0
TX0000067,20.47,0,0
TX0000068,507.99,0,0
TX0000069,53.46,0,0
TX0000070,90.86,0,0
TX0000071,251.73,0,0
TX0000072,196.5,0,0
