account_id,branch,product,balance,tenure_years
AC00000,Logan,Savings,4383.34,9.4
AC00001,Provo,Checking,9059.38,7.7
AC00002,Logan,Checking,6916.25,10.4
AC00003,Logan,Savings,5393.5,7.4
AC00004,Provo,Savings,1068.11,3.4
AC00005,St. George,CD,1085.62,1.8
AC00006,Provo,Checking,4089.11,4.0
AC00007,Ogden,CD,6666.31,14.4
AC00008,Provo,Checking,12685.59,8.8
AC00009,Provo,Checking,1238.48,6.1
AC00010,St. George,Checking,2357.06,1.6
AC00011,Provo,Savings,595.02,9.7
AC00012,Ogden,CD,7410.69,6.8
AC00013,Ogden,Checking,661.7,5.5
AC00014,Ogden,Checking,12485.77,5.8
AC00015,Ogden,Checking,5133.4,0.5
AC00016,Provo,Savings,761.13,7.8
AC00017,St. George,CD,1568.47,15.4
AC00018,Provo,Savings,999.06,6.3
AC00019,St. George,Checking,6700.04,2.7
AC00020,Ogden,Checking,9787.86,1.3
AC00021,Ogden,Checking,3207.84,5.9
AC00022,Ogden,Checking,2616.77,10.3
AC00023,Ogden,Checking,3819.05,4.3
AC00024,Provo,Checking,718.73,8.2
AC00025,St. George,Savings,674.53,1.0
AC00026,St. George,CD,660.7,5.0
AC00027,Ogden,Checking,1768.7,4.6
AC00028,Provo,Savings,993.95,7.0
AC00029,Logan,CD,11424.11,6.6
AC00030,Provo,Checking,2118.76,2.3
AC00031,Logan,Checking,11180.59,5.6
AC00032,St. George,Checking,12332.26,2.1
AC00033,Ogden,CD,12408.25,2.3
AC00034,Logan,Savings,1386.32,9.9
AC00035,Logan,Checking,3360.34,2.6
AC00036,Provo,Savings,8019.85,3.8
AC00037,St. George,CD,11941.61,1.6
AC00038,Ogden,Checking,9011.74,0.6
AC00039,St. George,Checking,2047.63,3.4
AC00040,Ogden,CD,255211.33,2.7
AC00041,Provo,Checking,4517.44,2.6
AC00042,Ogden,CD,7186.86,5.7
AC00043,Logan,Checking,9074.34,3.6
AC00044,Provo,Checking,859.72,6.8
AC00045,St. George,CD,17690.78,1.5
AC00046,Provo,Checking,1328.28,0.7
AC00047,Ogden,CD,10291.58,18.7
