loan_id,applicant_group,annual_income,loan_amount,dti_ratio,credit_score,employment_years,region,defaulted
LN000000,A,89993.0,4208.0,0.03,722,4.3,North,1
LN000001,B,58401.0,21949.0,0.3993,675,2.1,North,0
LN000002,B,84374.0,33372.0,0.4231,646,15.3,Central,0
LN000003,B,54159.0,24318.0,0.4264,726,1.2,Central,0
LN000004,A,86193.0,37621.0,0.4151,699,4.0,South,0
LN000005,A,68869.0,26435.0,0.4378,609,3.4,North,1
LN000006,B,48825.0,22017.0,0.5021,636,9.3,South,0
LN000007,B,62606.0,15794.0,0.2118,634,4.5,North,0
LN000008,A,105041.0,25559.0,0.2545,704,4.5,North,0
LN000009,A,76199.0,22756.0,0.2844,752,11.2,South,0
LN000010,B,50867.0,10012.0,0.1621,647,2.7,South,0
LN000011,A,104214.0,49685.0,0.4255,679,4.3,Central,0
LN000012,A,87725.0,24824.0,0.2966,717,6.8,South,0
LN000013,A,62559.0,5910.0,0.03,778,29.3,Central,0
LN000014,B,81992.0,33944.0,0.4615,643,7.4,South,0
LN000015,B,74757.0,25956.0,0.3061,599,4.3,North,0
LN000016,B,38219.0,17336.0,0.4522,749,2.7,South,0
LN000017,A,134730.0,24708.0,0.2378,654,5.2,North,0
LN000018,B,50820.0,20030.0,0.3565,683,0.6,North,0
LN000019,A,73083.0,22935.0,0.3298,636,3.9,Central,0
LN000020,A,81878.0,47208.0,0.6189,717,2.4,North,1
LN000021,A,98330.0,47080.0,0.4542,690,2.6,North,0
LN000022,B,76460.0,24058.0,0.2826,764,15.6,North,0
LN000023,A,54983.0,20438.0,0.3766,779,1.7,South,1
LN000024,A,91767.0,32676.0,0.3647,666,8.2,Central,0
LN000025,A,77652.0,31734.0,0.4203,711,6.8,South,0
LN000026,A,116969.0,27615.0,0.271,742,8.0,Central,0
LN000027,A,115351.0,39098.0,0.4216,718,12.4,Central,0
LN000028,B,31493.0,5431.0,0.2222,667,11.4,Central,0
LN000029,B,50251.0,11653.0,0.3284,606,6.0,Central,0
LN000030,A,115263.0,26785.0,0.2544,753,2.3,South,0
LN000031,A,77924.0,39908.0,0.4905,720,1.2,North,0
LN000032,A,41519.0,21892.0,0.6236,665,4.3,South,0
LN000033,A,92904.0,4066.0,0.0522,726,5.2,Central,0
LN000034,A,71411.0,22676.0,0.3757,706,1.6,Central,0
LN000035,A,66679.0,25088.0,0.3728,703,2.4,Central,0
LN000036,A,110679.0,68418.0,0.6047,697,8.7,North,0
LN000037,A,128573.0,76572.0,0.6648,657,6.8,North,0
LN000038,A,97778.0,28191.0,0.3316,807,6.8,North,0
LN000039,A,107923.0,39725.0,0.3351,800,3.1,North,0
LN000040,A,103514.0,55125.0,0.4744,707,18.1,Central,0
LN000041,A,61870.0,16372.0,0.2784,836,10.8,North,0
LN000042,A,97192.0,41279.0,0.4505,682,0.5,North,0
LN000043,A,76005.0,24589.0,0.3267,763,4.2,North,0
LN000044,B,47683.0,19482.0,0.3739,684,6.4,South,0
LN000045,A,68897.0,21775.0,0.401,583,10.0,North,0
LN000046,B,70418.0,35599.0,0.4947,682,7.4,Central,0
LN000047,A,43296.0,11754.0,0.3444,747,7.2,North,0
LN000048,A,68141.0,25290.0,0.4173,694,1.9,North,0
LN000049,A,53624.0,14133.0,0.2452,771,5.1,South,0
LN000050,A,97168.0,42527.0,0.4691,693,4.4,North,0
LN000051,A,80814.0,11381.0,0.2313,729,18.9,North,0
LN000052,A,87064.0,10138.0,0.1721,666,4.5,North,0
LN000053,B,58608.0,19686.0,0.4029,669,9.8,Central,0
LN000054,A,65011.0,13165.0,0.3016,764,5.7,Central,0
LN000055,A,52451.0,12243.0,0.2284,726,6.1,Central,0
LN000056,A,116233.0,56395.0,0.4493,760,13.5,Central,1
